符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
ok,lib/infrastructure/acr/tests/classic/e06_resample.cpp:190,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:202,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e06_resample.cpp:217,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:237,0.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:238,2.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e06_resample.cpp:240,3.14159265f;4.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c,lib/infrastructure/acr/tests/classic/e06_resample.cpp:241,3.14159265f;4.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:245,-3.5f;5.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:247,0.5f;2.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:253,-3.5f;0.0f;1.0f;5.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e06_resample.cpp:259,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c,lib/infrastructure/acr/tests/classic/e06_resample.cpp:260,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:267,0.0;0.75;1.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:275,-7.5f;0.0f;1.0f;10.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e06_resample.cpp:281,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c,lib/infrastructure/acr/tests/classic/e06_resample.cpp:282,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:289,0.0;0.8;1.25,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e06_resample.cpp:297,-12.5f;0.0f;1.0f;15.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e06_resample.cpp:303,3.14159265f;8.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c,lib/infrastructure/acr/tests/classic/e06_resample.cpp:304,3.14159265f;8.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s45,lib/infrastructure/acr/tests/classic/e06_resample.cpp:312,3.14159265f;4.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c45,lib/infrastructure/acr/tests/classic/e06_resample.cpp:313,3.14159265f;4.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s30,lib/infrastructure/acr/tests/classic/e06_resample.cpp:314,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c30,lib/infrastructure/acr/tests/classic/e06_resample.cpp:315,3.14159265f;6.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s22,lib/infrastructure/acr/tests/classic/e06_resample.cpp:316,3.14159265f;8.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
c22,lib/infrastructure/acr/tests/classic/e06_resample.cpp:317,3.14159265f;8.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:321,0.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:322,2.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:324,-3.5f;5.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:326,0.5f;2.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:329,-3.5f;0.0f;1.0f;5.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:333,0.0;0.75;1.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:336,-7.5f;0.0f;1.0f;10.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:340,0.0;0.8;1.25,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:343,-12.5f;0.0f;1.0f;15.5f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e07_histogram.cpp:37,0.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e07_histogram.cpp:54,1.0;256.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e08_scan.cpp:33,0.1f;1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e08_scan.cpp:192,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
acc,lib/infrastructure/acr/tests/classic/e08_scan.cpp:194,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e08_scan.cpp:200,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e08_scan.cpp:201,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e08_scan.cpp:213,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e08_scan.cpp:230,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:67,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:78,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:90,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:131,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:145,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:152,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:210,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:214,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:218,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:226,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:228,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:248,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:260,0.01,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:261,0.05,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:262,0.10,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:263,0.25,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:264,0.50,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
r,lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:265,1.00,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:280,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:289,0.01,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e09_gather_scatter.cpp:290,0.05,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
