符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
per_thread_cpu_sum_seconds,常数,lib/infrastructure/cli/monitor.h:91；lib/infrastructure/cli/v6_runtime_contract.h:306,0.0,秒（全部线程累计 CPU 之和 = 等效核秒）,初值,无,Windows 恒 0；Linux 读 /proc/self/task 失败时亦 0,不适用（结构性常数）,:316-320；契约判据 ⑦ work_core_seconds 的同类量；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,resource 事件 per_thread_cpu_sum_pct,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；AUD-402-判读-A3；L-05；L-10,
period,常数,lib/infrastructure/cli/commands.cpp:744,0.5,s,duration→steady 时钟换算的周期量,不适用,>0,不适用（非科学量）,同上（与 :717 同簇第 3 行）,不适用,CLI 资源采样,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
photometric_scale_a,常数,eng/tests/integration/v6_p3/p3_v6_export_e2e_test.cpp:168；docs/science/PHOTOMETRY.md:13；docs/standards/NUMERIC_STANDARD.md；lib/algorithms/resample/p3_rsmp_failclosed.cpp:153,1.5,无量纲（线性标度因子 α）,x′=α·x ⇒ Var′=α²Var、ivar′=ivar/α²（逐帧）,不适用（激励值）,>0 才算 present；0/负 → 缺 a → REJECT,无（测试激励值）,"语义锚：docs/science/PHOTOMETRY.md:13（标度类别 photo_scaled_adu 与 α 换算式，引 docs/standards/NUMERIC_STANDARD.md）；合同侧 fail-closed 锚：eng/contracts/schemas/product_family_field_constraints.schema.json:3999-4005（x-astrocs.fail_closed=""缺光度尺度 a -> REJECT""）＋ lib/algorithms/resample/p3_rsmp_failclosed.cpp:153 门 G-P3-PSF-05",不适用,Phase-3 导出输入的 α；生产默认 0.0（lib/phase3_session/p3_v6_export.h:139）⇒ 不声明即拒,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1；G-P3,
prev,常数,lib/infrastructure/cli/monitor.h:358；lib/infrastructure/cli/commands.cpp:1070-1071,0.0,秒,prev：本次快照线程在上一次快照的累计 CPU，未命中时的初值,不适用,线程新建（last_ 中无此 tid）,不适用（结构性常数：查表未命中初值）,:355-366 循环,不适用,d_active_compute_threads 计算,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
process_cpu_seconds,常数,lib/infrastructure/cli/v6_runtime_contract.h:298,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
progress,常数,lib/infrastructure/cli/resource_recorder.h:64,.1;0.0,分数 0..1,—,不适用,0..1,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
progress_,常数,lib/infrastructure/cli/resource_recorder.h:208,0.0,分数 0..1,—,不适用,0..1,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
q_low_run,常数,lib/infrastructure/cli/commands.cpp:967；lib/infrastructure/cli/resource_gate.h:130-133；lib/infrastructure/cli/commands.cpp:982；lib/algorithms/platesolve/cpp/ipv/test/CMakeLists.txt:18,0.0,s（q_low_run）/ 无量纲（q_low_best）,队列低利用连续时长与历史最优值初始化,不适用,>=0,不适用（结构性常数）,同上（同簇）；其后续判据的阈值有契约单源（kMon001QueueWindowSeconds、kMon001QueueUtilMinPercent，resource_gate.h:130-133）；无（复位语义，无常数待出处）,不适用,CLI 诊断统计,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
r_scaled,常数,eng/tests/unit/p1001_real_nodes_test.cpp:3749；docs/science/NOISE_MODEL.md:97；docs/algorithms/NOISE_ESTIMATION.md:144；eng/packaging/config/defaults.json:109-111,−1.0（JSON 缺键哨兵）；被测值来自 mask_radius_p50,像素,逐帧掩膜半径 p50（α 标度面上）,判据 rel≤1e-5（:3763，推导注释 :3756-3759）,≥0 为有效；<0 = 未取到,无（哨兵）；被测判据有推导注释,"半径硬上界 60 px 的唯一源链：docs/science/NOISE_MODEL.md:97/:368（rmax=max(1,r0)·max(1,scale)=60 px，MASK-002 导出链）→ docs/algorithms/NOISE_ESTIMATION.md:144/167 → eng/packaging/config/defaults.json:109-111（source_ref 三段登记）",不适用,W3(b) 标度不变性（ADU 面 vs 光标面半径须不变）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
read_noise_e,常数,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:101；docs/science/NOISE_MODEL.md:44；docs/algorithms/NOISE_ESTIMATION.md:198,5.0,e⁻,探测器元数据（逐帧标量）,不适用（激励值）,≥0；与 gain 同域进方差式,无（测试激励值）,单位与语义有 A/C 锚：docs/science/NOISE_MODEL.md:44（read_noise_e: e-）、§5c 方差式；数值 5.0 本身无出处,不适用,DetectorMetadata.read_noise_e,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
reclaim_frac,常数,lib/infrastructure/cli/memory_report.h:120；lib/infrastructure/cli/memory_report.h:6-8；lib/infrastructure/cli/resource_gate.h:119-121；eng/tests/backend/test_p2007_joint_gate.py:266；lib/infrastructure/cli/memory_report.h:232；lib/infrastructure/cli/memory_report.h:453；lib/infrastructure/cli/memory_report.h:497,-1.0,无量纲比例 (peak-last)/peak,回落比例（0=未回落，1=全回落）,呈现精度 %.3f（:257）,合法 0–1；-1 = 未采样/不可算,不适用（哨兵约定，非测量值；结构性）,:120 哨兵簇；:120 哨兵簇（本行是**赋值点**之一，另两处 :497 与初值 :232）；memory_report.h:6-8（哨兵纪律）＋:78/:82 枚举注释＋resource_gate.h:119-121 kMon001NotSampled=-1.0 同源＋eng/tests/backend/test_p2007_joint_gate.py:266（-1.0 未采样哨兵语义断言，载体在 HEAD 跟踪集）；同 :120 簇（memory_report.h:6-8 纪律＋resource_gate.h:119-121＋test_p2007_joint_gate.py:266）,不适用,alloc_report.json 字段 reclaim_frac；validate_alloc_report:599 依赖其方向,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-04,
reclaim_frac_alloc,常数,lib/infrastructure/cli/memory_report.h:121；lib/infrastructure/cli/memory_report.h:236；lib/infrastructure/cli/resource_gate.h:119,-1.0,无量纲比例（allocator 实占口径）,回落比例,(peak_alloc-last_alloc)/peak_alloc,0–1；-1 = 探针不可用/不可算,不适用（哨兵约定）,"同 :121 簇；同上（同簇 :120；另 :137-141 定义""探针可用且峰值≥残差容差""才可算）",不适用,alloc_report.json reclaim_frac_alloc；F-14 被测量选择,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；U-03,
recs,常数,lib/infrastructure/cli/commands.cpp:771；lib/infrastructure/cli/resource_gate.h:138-141,10.0,s,records_upto(10.0) 的取窗长度,不适用,>0,不适用（非科学量）,同上（与 :769 同簇；10 s 判定域见 resource_gate.h:138-141 的 thread-seconds 推导）,不适用,CLI 诊断判定,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
required_memory_bandwidth_frac,常数,lib/infrastructure/cli/resource_gate.h:165,0.0,分数 0..1+,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
robust_slope_bytes_per_iter,算法,lib/infrastructure/cli/memory_growth.h:44；lib/infrastructure/cli/resource_gate.h:119-121；lib/infrastructure/cli/memory_report.h:7-8,0.0,字节/轮,Theil-Sen 中位数斜率,不适用（结果字段初值）,n<2 时保持 0.0,不适用（结构性常数：结果结构体零初始化，不进科学语义；且所属函数生产零调用）,不适用,不适用,无生产适用域,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
rss_slope_mb_per_s,常数,lib/infrastructure/cli/resource_gate.h:194；lib/infrastructure/cli/commands.cpp:936,0.0,MiB/s（1048576 B/s）,—,不适用,可正可负,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
s,常数,lib/infrastructure/cli/resource_recorder.h:327,.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
sample_overhead_ms,常数,lib/infrastructure/cli/monitor.h:406；lib/infrastructure/cli/memory_report.h:239；docs/plugins/infrastructure/21_observability.md；lib/infrastructure/cli/resource_events.h:45,0.0,毫秒（每样本均值）,Summary 字段初值,%.3f 级呈现（:448 用 /1e6 ns→ms）,n_==0 时保持 0.0,不适用（结构性常数）,:448；语义权威=「07 §1 采样开销测量」（载体不在跟踪集）；同 :36 簇,不适用,资源摘要呈现；观测开销不得影响性能预算（21_observability.md:8）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-01；L-02；U-08,
scale,公式,eng/tests/system/v6_runtime/v6_runtime_determinism_test.cpp:56,表达式 (i%17)+1.0（机械层只记 1.0）,无量纲（幅度分层倍数）,合成向量逐元素,不适用,取值域 1..17,无（结构性）,无,不适用,确定性回归的输入幅度打散,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,预筛已回：全表命中键 correlation_kernel.scale｜有值侧 1（S4 合同schema）
scale_deg_per_px,常数,eng/tests/unit/mem_wire_test.cpp:312；docs/algorithms/PHASE2_SAMPLER.md:78,0.001,度/像素,PlanInputMetadata（规划估算输入）,不适用（激励值）,>0；参与 n_side/面积估算,无（测试激励值）,无,不适用,estimate_plan 的内存峰值估算输入,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,预筛已回：全表命中键 scale_deg_per_px｜有值侧 4（S2 出厂模板、S3 CLI骨架、S4 合同schema、S5 代码兜底）｜候选档 ③哨兵不一致
sigma,常数,eng/tests/unit/p1_stars_test.cpp:227,无（.6f 是 printf 格式串片段）,n/a,n/a,n/a,n/a,无（机械抽取假阳性）,无,不适用,n/a,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
sigma_f,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:89；docs/science/NOISE_MODEL.md:44,0.0（结构体成员默认）,ADU（通量不确定度）,独立参考实现 Ref 的逐源输出,不适用,≥0,无（结构性）,单位锚 docs/science/NOISE_MODEL.md:44（σ 类量 ADU）；本行不携带,不适用,ref_source σ_F 累加输出,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
sigma_logflux_dex,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:241；docs/science/NOISE_MODEL.md:323；docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:58；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:279,0.05,dex（log10 通量的逐星定标散度）,逐帧定标残差统计量,不适用（激励值）；被测式用 1e-15 rtol,≥0,无（激励值）；但被测常数 1.253 有档且实现有问题,语义与单位：docs/science/NOISE_MODEL.md:323（sigma_location_se_dex ≈ 1.253·sigma_residual/√N_eff，1.253=√(π/2)）；docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md:58（同一式的综述锚，写约 1.253）；实现 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:279,不适用,F3 零点标准误公式核对,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
sigma_sky_adu,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:192；docs/science/NOISE_MODEL.md:44,40.0,ADU,逐帧天空背景标准差（标量）,不适用（激励值）,>0；≤0 触发无效（out.valid=false）路径,无（测试激励值）,单位锚 docs/science/NOISE_MODEL.md:44（σ_bg: ADU）；数值 40.0 无出处（无需）,不适用,SnrFrameScienceConfig 天空受限分支,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
snr,常数,eng/tests/backend/syn008_seam_main.cpp:96；docs/algorithms/PHASE2_UPM_IMPL.md:166,100.0,无量纲（观测信噪比）,逐控制观测（per-control），无归一化,不适用（激励值）,权重式要求 snr≥0；snr²/(1+snr²) 单调,无（测试激励值，非科学量）,无（作为激励值无需出处；权重式见 docs/algorithms/PHASE2_UPM_IMPL.md:166）,不适用,P2ControlObservation.snr → raw_w 权重因子,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,预筛已回：全表命中键 snr｜有值侧 3（S3 CLI骨架、S4 合同schema、S5 代码兜底）｜候选档 ③哨兵不一致
snr_optimal,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:88,0.0（结构体成员默认）,无量纲,独立参考实现 Ref 的逐源输出,不适用,≥0,无（结构性）,无,不适用,ref_source 暴力参考实现,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
snrf,常数,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:267,0.0（JSON 缺键兜底）,无量纲（SNR_F）,读取产品字段 snr_f,判据在同用例后续行（本行不承载）,≥0,无（结构性兜底）,无,不适用,N2/N4 逐帧 SNR 恒等式核对,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
stddev_kernel_ns,常数,lib/infrastructure/acr/qualification/profile_schema.hpp:82,0.0,ns,核时间标准差成员初值（稳定性指标）,不适用,构造期哨兵,不适用（结构性常数，同簇合并）,同上（同簇第 3 行）,不适用,ACR 基准统计（生产不可达）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
sum_cpu,常数,lib/infrastructure/cli/resource_recorder.h:241,0.0,等效核×100 累加,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
sum_eq,常数,lib/infrastructure/cli/monitor.h:427,0.0,等效核（求和累加器）,均值分子,不适用,samples_>=2 分支内,不适用（结构性常数：累加器初值）,不适用,不适用,avg_equivalent_cores,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-06,
sum_tcpu,常数,lib/infrastructure/cli/resource_recorder.h:242,0.0,等效核×100 累加,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
system_cpu_pct,常数,lib/infrastructure/cli/resource_recorder.h:53,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
